record_number,application_number,application_type,uprn,category,location,proposal,received_date,received_complete_date,expiry_date,committee_date,gridref_east,gridref_north,site_area,site_area_hec,delegated_committee,Expr1016,Expr1017,old,notice_date,status_code,dbo_pla_planning_appeal_number,pla_stats_majmin,consults_expiry_date,pla_enviro_stat_req,pla_corr_total_object,pla_corr_total_no_object,pla_corr_total_comment,dbo_lookup_decision_codes_decision_description,dec_maker_desc,dbo_lookup_stats_site_details_description,dbo_lookup_stats_type_description,ward_description,dbo_apl_appeal_appeal_number,dbo_lookup_apl_decisions_decision_description,name
14312,BDB/72250,FUL,,CMW,Former SCA Building and Yard Armstrong Road Basingstoke Hampshire RG24 8NU,Change of use from waste paper recycling to Biomass Plant (sui generis) for the importation of wood waste (biomass)  for the purpose of providing electricity (750kw) to the national grid,05/03/2010,18/03/2010,13/05/2010,30/06/2010,465344,153073,4063,0.4063,C,Committee,Granted,,06/07/2010,,,MAJ,27/04/2011,,,,,Granted,Committee,Other,Incineration with Energy Recovery,Basingstoke North,,,Bell Cornwell
14313,10/00529/HCC3N,FUL,,CC,Land to the North East of East Anton Manor Farm East Anton Andover SP11 6AB,Construction of a new 420 place primary school with associated car parking and external works,05/03/2010,04/03/2010,29/04/2010,30/06/2010,437515,147831,46890,4.689,C,Committee,Granted,,01/07/2010,,,MAJ,06/04/2010,,,,,Granted,Committee,,,Andover North,,,Property Business & Regulatory Services
14317,10/00551/CMAS,FUL,,CMW,Autumn Glen Doctors Hill Sherfield English Hants SO51 6JX,Restoration/infilling of disused chalk pit,11/02/2010,11/03/2010,06/05/2010,,430284,123439,4755,0.4755,,Applicant,Withdrawn,,07/05/2010,RCD,,MAJ,12/04/2010,,,,,Withdrawn,Applicant,,,Romsey Extra,,,Mr Kevin Heard
14318,P/10/0278/CC,FUL,,CC,Whiteley County Primary School Gull Coppice Whiteley Fareham PO15 7LA,The proposals for the area is to create a new pedestrian access into the school site linking from Rookery Avenue to the an existing path located to the side of the existing playcourt.,12/03/2010,12/03/2010,07/05/2010,26/05/2010,452385,109089,274,0.0274,C,Committee,Granted,,28/05/2010,,,MIN,19/05/2010,,,,,Granted,Committee,,,Fareham Sarisbury,,,Property Business and Regulatory
14319,K5322/11,FUL,,CC,Grange Infant School Franklin Road Rowner Gosport Hampshire  PO13 9TS,Construction of a new stand alone  48 place Private Pre-School together with associated car parking and external works,12/03/2010,19/03/2010,14/05/2010,25/05/2010,458324,101314,1593,0.1593,D,Delegated by officer,Granted,,26/05/2010,,,MIN,21/04/2010,,,,,Granted,Delegated by officer,,,Lee,,,Property Business and Regulatory Services
14320,10/00730/HCS,FUL,,CC,St Bede C of E Primary School Gordon Road Winchester Hampshire SO23 7DD,Erection of one double temporary modular building  to provide extra teaching space,12/03/2010,12/03/2010,07/05/2010,,448310,129874,85,0.0085,D,Delegated by officer,Granted,,07/05/2010,,,,14/04/2010,,,,,Granted,Delegated by officer,,,Winchester Eastgate,,,Property Business and Regulatory Services
14322,BDB/72247,FUL,,CC,"Oakridge County Infant School Oakridge Road Basingstoke Hampshire RG21 5RR",Construction of a new single storey stand alone Private Pre School together with associated external works,16/03/2010,19/03/2010,14/05/2010,14/05/2010,463176,153299,673,0.0673,D,Delegated by officer,Granted,,14/05/2010,,,,01/07/2010,,,,,Granted,Delegated by officer,,,Basingstoke North,,,Property Business and Regulatory Services
14323,BDB/72245,FUL,,CC,"Burghclere County Primary School Church Lane Burghclere Newbury RG20 9HT",Construction of a new single storey stand alone 26 place private Pre School together with associated  external works.,16/03/2010,19/03/2010,14/05/2010,30/06/2010,447079,161010,761,0.0761,C,Committee,Granted,,01/07/2010,,,MIN,21/04/2010,,,,,Granted,Committee,,,Whitchurch and Clere,,,Property Business and Regulatory  Services
14326,P/10/0258/MW,FUL,,CMW,Units 1 & 2 Pinks Sawmill Wickham Road Fareham Hampshire PO17 5BT,Tyre recycling facility,16/03/2010,17/03/2010,12/05/2010,20/04/2010,457751,109706,2782,0.2782,D,Delegated by officer,Granted,,21/04/2010,,,MIN,15/04/2010,,,,,Granted,Delegated by officer,Other,Materials Recovery/Recycling (other than,Fareham Town,,,Oaktree Environmental Ltd
14327,10/00738/HCS,REN,,CC,Former Depot Bar End Road Winchester Hampshire,Extension of Time for Condition 3 of Planning Approval 05/03019/HCS W08495/15 for continued use as a car park for one year until 31 March 2011,17/03/2010,17/03/2010,12/05/2010,27/04/2010,448529,128127,5864,0.5864,D,Delegated by officer,Granted,,27/04/2010,,,MIN,15/04/2010,,,,,Granted,Delegated by officer,,,Winchester Eastgate,,,Mrs Tina Carnell
14328,BDB/72265,FUL,,CMW,Bourne Meadow 3 Bourne Meadow St Mary Bourne SP11 6BE,GRP Kiosk and steel vent pipe sited within residential garden to reduce sewerage flooding risk.,18/03/2010,19/03/2010,14/05/2010,12/05/2010,442157,150318,2091,0.2091,D,Delegated by officer,Granted,,13/05/2010,,,MAJ,26/04/2010,,,,,Granted,Delegated by officer,Other,Other Waste,Whitchurch and Clere,,,c/o MWH (4Delivery)
14329,BDB/72269,FUL,,CMW,The White House Stoke Nr Andover Hampshire SP11 0LU,Electrical switch gear kiosk and air pressure equalisation vent in support of local flood protection sewerage pumping station,18/03/2010,19/03/2010,14/05/2010,13/05/2010,440331,151808,691,0.0691,D,Delegated by officer,Granted,,13/05/2010,,,MAJ,20/12/2010,,,,,Granted,Delegated by officer,Other,Other Waste,Whitchurch and Clere,,,4Delivery c/o MWH
14330,10/00762/HCCRG3,FUL,,CC,Newlands County Primary School Dungells Lane Yateley Hampshire GU46 6EY,Construction of a new single storey 26 place PVI (Private Voluntary and Independant) Pre School together with associated car parking and external works,22/03/2010,19/03/2010,14/05/2010,18/05/2010,481395,160046,1304,0.1304,D,Delegated by officer,Granted,,19/05/2010,,,MIN,26/04/2010,,,,,Granted,Delegated by officer,,,Hartley Wintney Eversley and Yateley West,,,Property Business & Regulatory Services
14331,BDB/72278,FUL,,CMW,Tile Barn Farm Upton Grey Basingstoke RG25 2RS,Continued use of land for recycling and storage of inert excavation materials,22/03/2010,24/03/2010,19/05/2010,22/03/2011,470868,148234,8151,0.8151,C,Committee,Granted,,23/03/2011,,,MIN,26/04/2010,,,,,Granted,Committee,Other,Materials Recovery/Recycling (other than,Candovers,,,Bell Cornwell LLP
14332,BDB/72267,FUL,,CMW,Holdway Cottages St Mary Bourne Hants SP11 6BD,Glass Reinforced plastic kiosk and steel vent pipe sited within residential garden to reduce local sewer flooding risk,19/03/2010,22/03/2010,17/05/2010,12/05/2010,442158,150467,717,0.0717,D,Delegated by officer,Granted,,13/05/2010,RCD,,MAJ,26/04/2010,,,,,Granted,Delegated by officer,Other,Other Waste,Whitchurch and Clere,,,4Delivery (c/o MWH)
14334,10/74150/000,FUL,,CC,Barncroft Junior School Park Lane Bedhampton Havant PO9 3HN,Proposed amalgamation of the existing Barncroft Infant & Junior Schools to form a two form entry Primary School on the Junior School site.,22/03/2010,22/03/2010,17/05/2010,26/05/2010,470549,107466,20045,2.0045,C,Committee,Granted,,28/05/2010,,,MAJ,10/02/2011,,,,,Granted,Committee,,,Bedhampton and Leigh Park,,,Property Business & Regulatory Services
14336,S/10/66946,FUL,,CC,Berrywood Primary School Maunsel Way Hedge End Southampton SO30 2TL,Construction of a new single storey stand alone 26 place Private Pre School together with associated car parking and external works.,24/03/2010,23/03/2010,18/05/2010,28/04/2010,449591,114135,1775,0.1775,D,Delegated by officer,Granted,,18/05/2010,,,,13/12/2010,,,,,Granted,Delegated by officer,,,West End and Hedge End Grange Park,,,Property Business & Regulatory Services
14337,K17799,FUL,,CC,Bedenham Primary School Bridgemary Avenue Gosport Hampshire PO13 0XT,Construction of a single storey Inclusion Unit and Associated Parking and External Works,24/03/2010,24/03/2010,19/05/2010,20/05/2010,458641,103259,1384,0.1384,D,Delegated by officer,Granted,,20/05/2010,,,MIN,01/07/2010,,,,,Granted,Delegated by officer,,,Bridgemary,,,Property Business & Regulatory Property Services
14338,APP/10/0004,FUL,,CC,Park Community School Middle Park Way Havant  PO9 4BU,Construction of a new 300 sq m building adjacent to the existing sports hall to provide 3 seminar rooms a cyber cafe a consultation room for visiting NHS staff and ancillary WC kitchen and plant accommodation,24/03/2010,23/03/2010,18/05/2010,07/06/2010,470483,108252,1152,0.1152,D,Delegated by officer,Granted,,07/06/2010,,,MIN,28/04/2010,,,,,Granted,Delegated by officer,,,Bedhampton and Leigh Park,,,Property Business & Regulatory Services
14340,10/00869/HCS,FUL,,CC,County Highways Laboratory Micheldever Winchester SO21 3BB,Proposed  new agricultural type barn to hold approximately 6000t of rock salt for winter service operations,25/03/2010,24/03/2010,19/05/2010,12/07/2010,451748,143599,546,0.0546,D,Delegated by officer,Granted,,12/07/2010,,,MAJ,29/04/2010,,,,,Granted,Delegated by officer,Other,,Itchen Valley,,,Hampshire Highways
14342,10/00871/HCS,FUL,,CC,Swanmore C of E School Church Road Swanmore Southampton SO32 2PA,Construction of a new single storey stand alone 26 place Private Pre-School and external works,26/03/2010,25/03/2010,20/05/2010,,457717,116516,2848,0.2848,D,Delegated by officer,Granted,,09/07/2010,,,,23/09/2010,,,,,Granted,Delegated by officer,,,Meon Valley,,,Property Business & Regulatory  Services
14344,10/00745/CMAS,VAR,,CMW,RFSF Recycling Ltd Bunny Lane Timsbury Romsey SO51 0PG,Variation of condition 5 of Planning Permission 09/00450/CMAS (remove requirement for bund on site boundary),30/03/2010,29/03/2010,24/05/2010,30/06/2010,435422,124836,711,0.0711,,Applicant,Withdrawn,,22/06/2010,,,,29/04/2010,,,,,Withdrawn,Applicant,,,Test Valley Central,,,Land & Mineral Management Ltd
14345,10/00212/HCC,FUL,,CC,The Samuel Cody School Lynchford Road Farnborough Hampshire GU14 6BJ,Construction of a double temporary classroom adjacent to the existing permanent school building,30/03/2010,29/03/2010,24/05/2010,,486949,153210,67,0.0067,D,Applicant,Withdrawn,,28/04/2010,,,MIN,05/05/2010,,,,,Withdrawn,Applicant,,,Aldershot West,,,Property Business and Regulatory Services
14346,10/00744/CMAS,FUL,,CMW,R F Salvidge Recycling Bunny Lane Timsbury Romsey SO51 0PG,Change of use to vehicle plant and container parking of an area to the south of the existing waste recycling facility,30/03/2010,29/03/2010,24/05/2010,29/09/2010,435484,124616,3545,0.3545,C,Committee,Granted,,08/10/2010,,,MAJ,11/11/2011,,,,,Granted,Committee,Extension to area of existing site,Storage,Test Valley Central,,,Land & Mineral Management Ltd
14347,P/10/0310/CC,FUL,,CC,Red Barn CP School Linden Lea Fareham Hampshire PO16 8HJ,Construction of a new single storey stand alone 26 place Private Pre School  and external works,30/03/2010,26/03/2010,21/05/2010,13/05/2010,460996,106010,1219,0.1219,D,Delegated by officer,Granted,,14/05/2010,,,,05/05/2010,,,,,Granted,Delegated by officer,,,Fareham Portchester,,,Property Business & Regulatory Services
14348,51471/002,FUL,,CMW,Former Sewage Works Waterbrook Road Alton Hampshire GU34,Retention of Waste Recycling Centre for construction & demolition waste to include a light weight structure landscaped bund parking and associated plant and machinery.,30/03/2010,31/03/2010,26/05/2010,28/07/2010,472890,139453,22593,2.2593,,Committee,Granted,,11/04/2011,,,MAJ,06/05/2010,,,,,Granted,Committee,Other,Materials Recovery/Recycling (other than,Alton Town,,,Gregory Gray Associates
14351,10/00213/HCC,FUL,,CC,Fernhill School & Language College Neville Duke Road Farnborough Hampshire GU14 9BY,Construction of a new single storey 26 place stand alone Private Pre School together with external works,31/03/2010,30/03/2010,25/05/2010,,485916,157969,1140,0.114,D,Applicant,Withdrawn,,23/04/2010,,,MIN,24/05/2010,,,,,Withdrawn,Applicant,,,Farnborough North,,,Property Business & Regulatory Services
14353,APP/10/00029,FUL,,CC,Bosmere Junior School South Street Havant Hampshire PO9 1DA,Provision of pedestrian gate and adjacent fencing,01/04/2010,31/03/2010,26/05/2010,24/05/2010,471738,105951,2,0.0002,D,Delegated by officer,Granted,,25/05/2010,,,MIN,05/05/2010,,,,,Granted,Delegated by officer,,,Emsworth and St Faiths,,,Property Business & Regulatory Services
14357,BDB/72411,FUL,,CC,Park View Infant School Pinkerton Road Basingstoke Hampshire RG22 6RT,The erection of 2 canopies,14/04/2010,15/04/2010,10/06/2010,24/05/2010,461130,150939,53,0.0053,D,Delegated by officer,Granted,,25/05/2010,,,,12/08/2010,,,,,Granted,Delegated by officer,,,Basingstoke North West,,,Property Business and Regulatory Services
14358,BDB/72376,FUL,,CC,Rucstall Cp School Holbein Close Basingstoke Hampshire RG21 3EX,Construction of a new single storey stand alone 40 place Private Pre School and external works.,14/04/2010,12/04/2010,07/06/2010,01/06/2010,464800,151482,1661,0.1661,D,Delegated by officer,Granted,,01/06/2010,,,,28/09/2010,,,,,Granted,Delegated by officer,,,Basingstoke South East,,,Property Business & Regulatory Services
14361,10/00916/HCC3S,FUL,,CC,Halterworth County Primary School Halterworth Lane Romsey Hampshire SO51 9AD,Construction of a new stand alone single storey 26 place Private Pre School and associated external works,16/04/2010,21/04/2010,16/06/2010,17/06/2010,437268,121103,952,0.0952,D,Delegated by officer,Granted,,18/06/2010,,,,25/10/2010,,,,,Granted,Delegated by officer,,,Romsey Extra,,,Property Business & Regulatory Services
14362,10/00998/HCS,FUL,,CC,Weeke Cp School Stoney Lane Winchester Hampshire SO22 6DR,Double temporary classroom for educational use by the site school and 2 additional car parking spaces due to the increase in staffing numbers,16/04/2010,16/04/2010,11/06/2010,11/06/2010,446731,130790,188,0.0188,D,Delegated by officer,Granted,,11/06/2010,,,,18/05/2010,,,,,Granted,Delegated by officer,,,Winchester Westgate,,,Property Business & Regulatory Services
14368,10/01033/HCS,FUL,,CMM,Larkwhistle Farm Well site Off A279 Crawley Down Winchester,Removal of temporary office and demolition of existing ancillary office (64.8sqm) and replacement with new offices,14/04/2010,20/04/2010,15/06/2010,09/07/2010,445115,135506,1093,0.1093,D,Delegated by officer,Granted,,12/07/2010,RCD,,min,20/05/2010,,,,,Granted,Delegated by officer,Other,Oil/Gas Development,Itchen Valley,,,Star Energy  Ltd
14369,10/00926/CMAS,FUL,,CMM,Lee Lane Nursling,Consolidation application for the continued operation and use of site for mixed development comprising: (i) the importation storage and distribution of land won aggregates marine dredged aggregates secondary aggregates and bagged cement (ii) the recycling of  construction and demolition wastes and soils (iii) retention of all existing buildings and structures including offices workshop storage building and weighbridge (iv) ancillary HCV lorry parking (v) skip storage (vi) concrete mixing plant and associated block moulds,21/04/2010,21/04/2010,16/06/2010,28/07/2010,436114,116755,18368,1.8368,C,Applicant,Withdrawn,,13/09/2010,RCD,,MAJ,21/05/2010,,,,,Withdrawn,Applicant,Variation of condition(s),Other Waste,Romsey Extra,,,Stephen Bowley Planning Consultancy
14373,P/10/0400/MW,FUL,,CMW,Raymond Brown Minerals & Recycling Ltd Rookery Farm Landfill & Recycling Botley Rd Fareham Hampshire SO31 1BL,Proposed portacabin to be used as a Visitor Centre,23/04/2010,30/04/2010,25/06/2010,22/06/2010,451536,109093,16,0.0016,D,Delegated by officer,Granted,,23/06/2010,,,MAJ,01/06/2010,,,,,Granted,Delegated by officer,On site manufacturing or ancillary operations/uses,Recycling Plans for Secondary Aggregates,Fareham Sarisbury,,,Raymond Brown
14374,10/00267/HCC,FUL,,CC,Fernhill School & Language College Neville Duke Road Farnborough Hampshire GU14 9BY,Construction of a new single storey 40 place stand alone Private Pre School  and external works.,23/04/2010,23/04/2010,18/06/2010,16/06/2010,485916,157969,1140,0.114,D,Delegated by officer,Granted,,16/06/2010,,,,11/11/2010,,,,,Granted,Delegated by officer,,,Farnborough North,,,Property Business & Regulatory Servics
14375,20661/044,FUL,,CMW,The Selborne Brickworks Honey Lane Selborne Alton Hampshire GU34 3BS,The construction of an anaerobic digester including lagoons feed stock handling building and gas conditioning plant on the existing brickworks site and adjacent land to enable the production of sufficient biomethane to supply all the energy that the brickworks require,23/04/2010,23/04/2010,18/06/2010,28/07/2010,476758,134191,20462,2.0462,C,Applicant,Withdrawn,,03/08/2010,RCD,,min,25/05/2010,,,,,Withdrawn,Applicant,Other,Anaerobic Digestion,Alton Rural,,,Alexandra Bates
14376,10/00284/HCC,FUL,,CC,"The Samuel Cody School Lynchford Road Farnborough Hampshire GU14 6BJ",Provision of one Single Modular Temporary Classroom for a period of 4 years up to 31st August 2015,27/04/2010,27/04/2010,22/06/2010,26/05/2010,486949,153210,67,0.0067,D,Delegated by officer,Granted,,10/06/2010,,,,02/06/2010,,,,,Granted,Delegated by officer,,,Aldershot West,,,Property Business & Regulatory Services
14377,10/01134/HCS,FUL,,CC,"St Bede C Of E Primary School Gordon Road Winchester Hampshire SO23 7DD",Provision of one Double Modular Temporary Classroom with WCs for a period of 4 years up to 31st August 2014,27/04/2010,04/05/2010,29/06/2010,28/06/2010,448352,129858,103,0.0103,D,Delegated by officer,Granted,,29/06/2010,,,,10/06/2010,,,,,Granted,Delegated by officer,,,Winchester Eastgate,,,Property Business & Regulatory Services
14378,10/95627,FUL,,CC,"Applemore College Roman Road Dibden Purlieu Southampton SO45 4RQ",Demolition of the existing School Site House with change of use on the land from domestic to Educational following demolition,28/04/2010,28/04/2010,23/06/2010,23/06/2010,440108,107040,457,0.0457,D,Delegated by officer,Granted,,25/06/2010,,,,02/06/2010,,,,,Granted,Delegated by officer,,,Dibden and Hythe,,,Property Business & Regulatory Services
14379,10/01128/HCS,FUL,,CMW,Four Dell Farm Otterbourne Winchester Hampshire SO21 2DY,Variation of conditions 2 and  3 of Planning permission 08/02657/HCS to allow processing of gypsum from waste plasterboard,29/04/2010,29/04/2010,24/06/2010,29/09/2010,445366,124340,7132,0.7132,C,Committee,Granted,,08/10/2010,RCD,,MAJ,02/02/2011,,,,,Granted,Committee,Variation of condition(s),Materials Recovery/Recycling (other than,Winchester Downlands,,,Jon & Geoff Venn
14381,S/10/67253,FUL,,CC,"Shamblehurst Primary School Wildern Lane Hedge End Southampton SO30 4EJ",Proposed fenced multi use games area (MUGA) as an all year sports surface with access path and storage container for sports equipment,05/05/2010,18/05/2010,13/07/2010,06/07/2010,449119,113558,2228,0.2228,D,Delegated by officer,Granted,,07/07/2010,,,,26/10/2010,,,,,Granted,Delegated by officer,,,Botley and Hedge End,,,Property Business and Regulatory Services
14382,10/01141/HCS,FUL,,CMW,Gunstock Farm Northside Lane Bishops Sutton  Alresford Hants SO24 9SR,Infilling of a pond area,28/04/2010,05/05/2010,30/06/2010,29/06/2010,461866,132012,2952,0.2952,D,Delegated by officer,Granted,,29/06/2010,RCD,,min,09/06/2010,,,,,Granted,Delegated by officer,Other,Landfill,Meon Valley,,,Michael Warren Associates Ltd
14384,10/01043/HCC3S,FUL,,CC,North Baddesley Infant School Botley Road North Baddesley Southampton SO52 9EE,Construction of a new single storey 40 place Private Pre School and external works,05/05/2010,05/05/2010,30/06/2010,26/05/2010,439729,119752,1165,0.1165,D,Delegated by officer,Granted,,29/06/2010,,,,04/06/2010,,,,,Granted,Delegated by officer,,,Baddesley,,,Property Business & Regulatory Services
14385,10/01149/HCS,FUL,,CC,St Bede C Of E Primary School Gordon Road Winchester Hampshire SO23 7DD,Provision of one Double Modular Temporary Classroom with WCs for a period of 4 years up to 31st August 2014,06/05/2010,06/05/2010,01/07/2010,29/06/2010,448356,129854,147,0.0147,D,Delegated by officer,Granted,,29/06/2010,,,,04/06/2010,,,,,Granted,Delegated by officer,,,Winchester Eastgate,,,Property Business & Regulatory Services
14386,BDB/72563,FUL,,CC,Rucstall Cp School Holbein Close Basingstoke Hampshire RG21 3EX,Installation of new DDA compliant pedestrian ramped footpath to replace existing path and steps  tree and hedge planting to replace removed vegetation,06/05/2010,12/05/2010,07/07/2010,26/05/2010,464772,151393,1328,0.1328,D,Delegated by officer,Granted,,07/07/2010,,,,13/08/2010,,,,,Granted,Delegated by officer,,,Basingstoke South East,,,Mrs Tina Carnell
14387,APP/10/00141,FUL,,CMW,Farlington Redoubt Portsdown Hill Road Portsmouth PO6 1BW,Waste management facility and ancillary cement silo,06/05/2010,10/05/2010,05/07/2010,28/07/2010,468669,106441,13885,1.3885,C,Committee,Granted,,18/05/2011,,,MAJ,10/06/2010,,,,,Granted,Committee,Extension to area of existing site,Recycling Plans for Secondary Aggregates,,,,WYG
14392,APP/10/00201,FUL,,CC,Morelands Primary School Crookhorn Lane Waterlooville Hampshire PO7 5QL,New Mini Games Area to existing primary school,21/05/2010,21/05/2010,16/07/2010,14/07/2010,468189,106938,740,0.074,D,Delegated by officer,Granted,,15/07/2010,,,MIN,23/06/2010,,,,,Granted,Delegated by officer,,,Purbrook and Stakes South,,,RPS
14395,BDB/72632,FUL,,CC,Hatch Warren Community Centre Long Cross Lane Hatch Warren Basingstoke,Proposed single storey pitched roof extension and external works to form a Childrens Centre,25/05/2010,25/05/2010,20/07/2010,,460500,148607,1347,0.1347,D,Delegated by officer,Granted,,06/07/2010,,,,01/12/2010,,,,,Granted,Delegated by officer,,,Basingstoke South West,,,Property Business & Regulatory Services
14396,10/95699,FUL,,CC,New Milton Infant School Lymington Road New Milton Hampshire BH25 6PZ,Construction of a new single storey 40 place Private Pre School together with associated car parking and external works,21/05/2010,21/05/2010,16/07/2010,28/07/2010,424041,94261,1409,0.1409,C,Committee,Granted,,29/07/2010,,,MIN,30/06/2010,,,,,Granted,Committee,,,New Milton,,,Property Business & Regulatory Services
14397,APP/10/00220,FUL,,CC,Mill Hill Childrens Centre  Mill Road Waterlooville Hampshire PO7 7DB,Provision of new DDA compliant ramp and entrance path with associated landscape improvements.,26/05/2010,26/05/2010,21/07/2010,20/07/2010,468058,108675,2030,0.203,D,Delegated by officer,Granted,,21/07/2010,,,,01/09/2010,,,,,Granted,Delegated by officer,,,Purbrook and Stakes South,,,RPS
14398,BDB/72648,FUL,,CC,Limington House School St Andrews Road Basingstoke RG22 6PS,Proposed external canopies to play areas amendments to windows on classroom extension and tree to be removed,26/05/2010,26/05/2010,21/07/2010,15/07/2010,461940,151409,230,0.023,D,Delegated by officer,Granted,,15/07/2010,,,MIN,30/06/2010,,,,,Granted,Delegated by officer,,,Basingstoke Central,,,Property Business & Regulatory Services
14399,BDB/72655,FUL,,CC,Bishops Green Community Centre Beech Road Bishops Green near Newbury RG20 4AD,Proposed single storey pitched roof extension children's centre enlarged outdoor play area and repositioning of existing external storage container,25/05/2010,25/05/2010,20/07/2010,15/07/2010,450078,163038,850,0.085,D,Delegated by officer,Granted,,15/07/2010,,,MIN,30/06/2010,,,,,Granted,Delegated by officer,,,Whitchurch and Clere,,,Property Business & Regulatory Services
14400,BDB/72646,FUL,,CC,St Marks Primary School Danebury Road Hatch Warren Basingstoke RG22 4US,Multi-use games area with associated paths,27/05/2010,27/05/2010,22/07/2010,19/07/2010,460805,148643,3848,0.3848,D,Delegated by officer,Granted,,19/07/2010,,,MIN,14/07/2010,,,,,Granted,Delegated by officer,,,Basingstoke South West,,,Property Business & Regulatory Services
14401,10/95705,FUL,,CC,Marchwood C of E Infant School Twiggs Lane Marchwood Southampton SO40 4ZE,Construction of a new single storey 40 place Private Pre-School together with associated car parking and external works,27/05/2010,27/05/2010,22/07/2010,,438366,109686,1148,0.1148,D,Delegated by officer,Granted,,26/07/2010,,,MIN,30/06/2010,,,,,Granted,Delegated by officer,,,Totton South and Marchwood,,,Property Business & Regulatory Services
14403,10/95719,FUL,,CMW,151-153 Long Lane Holbury Southampton Hants S045 2NZ,Waste Transfer Station Area to Rear of Existing Yard,27/05/2010,02/06/2010,28/07/2010,28/07/2010,443500,103940,163,0.0163,C,Committee,Granted,,30/07/2010,RCD,,MAJ,01/07/2010,,,,,Granted,Committee,Other,Transfer Station,South Waterside,,,Simpson Hilder Associates Ltd
14404,10/01288/HCCRG3,FUL,,CC,Yateley County Infant School Cranford Park Drive Yateley Hampshire GU46 6LB,Proposed amalgamation of Yateley Infant School with St Peters Junior School to form a new Primary School with internal alterations refurbishment and extension,28/05/2010,28/05/2010,23/07/2010,20/08/2010,481934,160558,6097,0.6097,D,Delegated by officer,Granted,,20/08/2010,,,MIN,01/07/2010,,,,,Granted,Delegated by officer,,,Yateley East Blackwater and Ancells,,,Property Services
14407,HCC/2010/0143,FUL,,CC,Glen House Glen Road Swanwick Southampton SO31 7HD,Single story extension to existing building. The proposed extension consists of a drama studio & teachers preparation room.,01/06/2010,01/06/2010,27/07/2010,,450690,109475,141,0.0141,,Applicant,Withdrawn,,10/06/2010,,,,01/07/2010,,,,,Withdrawn,Applicant,,,Fareham Sarisbury,,,Miss Claire Priest
14409,10/01488/HCS,FUL,,CC,Wickham C of E Controlled Primary School Buddens Road Wickham Fareham PO17 5HU,Enhancement of Early Years outdoor learning area involving extending paving and erecting a canopy,03/06/2010,03/06/2010,29/07/2010,22/07/2010,457202,111782,434,0.0434,D,Delegated by officer,Granted,,22/07/2010,,,MIN,07/07/2010,,,,,Granted,Delegated by officer,,,Winchester Southern Parishes,,,Property Business & Regulatory Services
14410,10/95734,REL,,CMW,Avon Tyrell Reservoir Land North of Ripley Ringwood Hampshire,Variation of condition 2 of planning permission 75228 to extend the development period,04/06/2010,07/06/2010,02/08/2010,01/04/2011,416005,99324,121285,12.1285,D,Delegated by officer,Granted,,01/04/2011,,,MAJ,07/07/2010,,,,,Granted,Delegated by officer,Variation of condition(s),Sand and Gravel,Ringwood,,,Land & Mineral Management Ltd
14424,P/10/0548/CC,FUL,,CC,Swanwick Lodge Glen Road (Off Swanwick Lane) Swanwick Southampton SO31 7HD,Single story extension to existing building the proposed extension consists of a drama studio & teachers preparation room.,11/06/2010,11/06/2010,06/08/2010,15/07/2010,450690,109475,141,0.0141,D,Delegated by officer,Granted,,15/07/2010,,,,14/07/2010,,,,,Granted,Delegated by officer,,,Fareham Sarisbury,,,Property Business and Regulatory Services
14425,P/10/0572/CC,FUL,,CC,Swanwick Lodge Glen Road Swanwick Southampton SO31 7HD,Erection of 6no. 6m high CCTV masts,14/06/2010,14/06/2010,09/08/2010,27/07/2010,450669,109429,5,0.0005,D,Delegated by officer,Granted,,27/07/2010,,,,14/07/2010,,,,,Granted,Delegated by officer,,,Fareham Sarisbury,,,Property Business & Regulatory Services
14427,K6419/19,FUL,,CC,"Brune Park Community College Military Road Gosport Hampshire PO12 3BU",Removal of an existing fence approximately 150m long and replacement with a 2400mm high galvanised weldmesh fence on heavy duty galvanised angle iron posts,16/06/2010,25/06/2010,20/08/2010,30/07/2010,459343,101603,584,0.0584,D,Delegated by officer,Granted,,30/07/2010,,,MIN,26/07/2010,,,,,Granted,Delegated by officer,,,Leesland and Town,,,Property Business & Regulatory Services
14428,NMA/2010/0164,NMA,,CC,The Norman Gate School Vigo Road Andover Hants SP10 1JZ,Non Material Amendment - Change Spandrel Panels from Light Grey to Blue,14/06/2010,14/06/2010,12/07/2010,,,,,,D,Delegated by officer,Granted,,01/07/2010,RCD,,min,16/07/2010,,,,,Granted,Delegated by officer,,,,,,Property Business and Regulatory Services
14432,APP/10/00324,OUT,,CC,"Park Community School Middle Park Way Havant Hampshire PO9 4BU",Outline Planning Permission: Re build of main school buildings; refurbishment and extension of existing of sports and theatre block; with associated external works and car parking and demolition of existing redundant school buildings.,21/06/2010,21/06/2010,16/08/2010,30/06/2010,470391,108211,59305,5.9305,,Applicant,Withdrawn,,06/07/2010,,,,27/07/2010,,,,,Withdrawn,Applicant,,,Bedhampton and Leigh Park,,,Property Business & Regulatory Services
14433,APP/10/00325,OUT,,CC,Warblington School Southleigh Road Havant Hampshire PO9 2RR,Outline Planning Application: Re-build of main school buildings; refurbishment of existing technology block; extension of nursery; all with associated external works and car parking and demolition of existing redundant school buildings,22/06/2010,22/06/2010,17/08/2010,,472439,106450,95749,9.5749,,Applicant,Withdrawn,,06/07/2010,,,,13/07/2010,,,,,Withdrawn,Applicant,,,Emsworth and St Faiths,,,Property Business & Regulatory Services
