record_number,application_number,application_type,uprn,category,location,proposal,received_date,received_complete_date,expiry_date,committee_date,gridref_east,gridref_north,site_area,site_area_hec,delegated_committee,Expr1016,Expr1017,old,notice_date,status_code,dbo_pla_planning_appeal_number,pla_stats_majmin,consults_expiry_date,pla_enviro_stat_req,pla_corr_total_object,pla_corr_total_no_object,pla_corr_total_comment,dbo_lookup_decision_codes_decision_description,dec_maker_desc,dbo_lookup_stats_site_details_description,dbo_lookup_stats_type_description,ward_description,dbo_apl_appeal_appeal_number,dbo_lookup_apl_decisions_decision_description,name
14672,11/97030,FUL,,CMW,Unit 2C North Road Marchwood Southampton Hants SO40 4BL,Erection of acoustic fence and provision of portacabin,11/04/2011,11/04/2011,06/06/2011,15/06/2011,439276,111307,4937,0.4937,D,Delegated by officer,Granted,,16/06/2011,RCD,,MAJ,17/05/2011,,,,,Granted,Delegated by officer,Other,Other County Matter,Totton South and Marchwood,,,Biffa Waste Services Ltd
14673,11/00893/HCCRG3,FUL,,CC,Tavistock County Infant School Broadacres Fleet Hampshire GU51 4EB,Continued siting for 1 double temporary modular building (710295) on site for a further seven years until 31st August 2018,13/04/2011,13/04/2011,08/06/2011,26/05/2011,479812,153596,106,0.0106,D,Delegated by officer,Granted,,27/05/2011,,,MIN,18/05/2011,,,,,Granted,Delegated by officer,,,Fleet,,,Property Business & Regulatory Services
14674,11/97095,FUL,,CC,Forest Park School Commercial Road Totton  SO40 3AF,Continued siting for 1 single (Ref. 7013966) and 2 double (7012033 & 7011400) temporary modular buildings on site for a further seven years until 31st August 2018,13/04/2011,13/04/2011,08/06/2011,26/05/2011,436375,113489,227,0.0227,D,Delegated by officer,Granted,,27/05/2011,,,MIN,25/05/2011,,,,,Granted,Delegated by officer,,,Totton South and Marchwood,,,Property Business and Regulatory
14675,11/00981/HCCRG3,FUL,,CC,Hook Infant School Church View Hook Hampshire RG27 9NR,Continued siting for 1 double temporary modular building (Ref: 770039) on site for a further seven years until 31st August 2018,13/04/2011,04/05/2011,29/06/2011,,472703,154273,118,0.0118,D,Applicant,Withdrawn,,16/05/2011,,,MIN,03/06/2011,,,,,Withdrawn,Applicant,,,Odiham,,,Property Business & Regulatory Services
14676,K7136/61,FUL,,CC,Quayside Education Centre Mill Lane Gosport Hampshire PO12 4AF,Continued siting for 3 double temporary modular buildings (Ref: 711310 711311 & 711312) and 1 single temporary modular building (Ref: 711396) on site for a further seven years until 31st August 2018,13/04/2011,13/04/2011,08/06/2011,01/06/2011,460929,100741,436,0.0436,D,Delegated by officer,Granted,,06/06/2011,,,MIN,25/05/2011,,,,,Granted,Delegated by officer,,,Leesland and Town,,,Property Business & Regulatory Services
14677,11/97106,FUL,,CC,New Milton Infant School Lymington Road New Milton Hampshire BH25 6PZ,Continued siting for 1 single (Ref. 712993 and 2 double temporary  (Ref. 710558 710559) modular buildings on site for a further seven years until 31st August 2018,13/04/2011,13/04/2011,08/06/2011,03/06/2011,424110,94300,294,0.0294,D,Delegated by officer,Granted,,07/06/2011,,,MIN,25/05/2011,,,,,Granted,Delegated by officer,,,New Milton,,,Property Business and Regulatory
14678,11/00983/HCC3N,FUL,,CC,Test Valley County Secondary School Roman Road Stockbridge Hampshire SO20 6HA,Continued siting for 2 double temporary modular buildings (Ref. 711575 713329) on site for a further seven years until 31st August 2018,13/04/2011,13/04/2011,08/06/2011,01/06/2011,434903,134968,235,0.0235,D,Delegated by officer,Granted,,06/06/2011,,,MIN,25/05/2011,,,,,Granted,Delegated by officer,,,Test Valley Central,,,Property Business & Regulatory Services
14680,BDB/74326,FUL,,CC,Ashwood Education Centre Ashwood Way Basingstoke Hampshire RG23 8AA,Continued siting for one single (Ref. 770086) and two double (Ref 713817 770087) temporary modular buildings on site for a further seven years until 31st August 2018,13/04/2011,13/04/2011,08/06/2011,26/05/2011,461878,153200,313,0.0313,D,Delegated by officer,Granted,,27/05/2011,,,MIN,25/05/2011,,,,,Granted,Delegated by officer,,,Basingstoke North West,,,Property Business and Regulatory
14681,P/11/0363/CC,FUL,,CC,Anne Dale County Junior & Infant School Cuckoo Lane Fareham Hampshire PO14 3PH,Continued siting for 1 single temporary modular building (Ref: 710445) on site for a further seven years until 31st August 2018,13/04/2011,13/04/2011,08/06/2011,01/06/2011,455099,103000,92,0.0092,D,Delegated by officer,Granted,,02/06/2011,,,MIN,25/05/2011,,,,,Granted,Delegated by officer,,,Fareham Crofton,,,Property Business & Regulatory Services
14682,S/11/68986,FUL,,CC,The Wildern School Wildern Lane Hedge End Southampton SO30 4EJ,Continued siting for 2 double temporary modular buildings (770047 770048) on site for a further seven years until 31st August 2018,13/04/2011,04/05/2011,29/06/2011,08/06/2011,449194,113539,176,0.0176,D,Delegated by officer,Granted,,13/06/2011,,,MIN,02/06/2011,,,,,Granted,Delegated by officer,,,Botley and Hedge End,,,Property Business and Regulatory Services
14683,11/97131,FUL,,CC,The Forest Education Centre Cabot Drive Dibden Southampton SO45 5UQ,Continued siting for 3 double temporary modular buildings (ref. 709271 710188 713334) on site for a further seven years until 31st August 2018,13/04/2011,04/05/2011,29/06/2011,29/06/2011,440436,107228,378,0.0378,D,Delegated by officer,Granted,,29/06/2011,,,MIN,03/06/2011,,,,,Granted,Delegated by officer,,,Dibden and Hythe,,,Property Business & Regulatory Services
14684,BDB/74377,FUL,,CC,Dove House School Sutton Road Basingstoke Hampshire RG21 5SU,Continued siting for 3 double temporary modular buildings (70053 70075 70076) on site for a further seven years until 31st August 2018,13/04/2011,04/05/2011,29/06/2011,06/06/2011,463824,153267,295,0.0295,D,Delegated by officer,Granted,,07/06/2011,,,MIN,03/06/2011,,,,,Granted,Delegated by officer,,,Basingstoke North,,,Property Business & Regulatory Services
14685,BDB/74324,FUL,,CC,The Hurst Community School Brimpton Road Baughurst Tadley RG26 5NL,Continued siting for 1 triple temporary modular building (Ref. 713475) on site for a further seven years until 31st August 2018,13/04/2011,13/04/2011,08/06/2011,14/06/2011,457697,162445,397,0.0397,D,Delegated by officer,Granted,,16/06/2011,,,MIN,25/05/2011,,,,,Granted,Delegated by officer,,,Tadley and Baughurst,,,Property Business and Regulatory
14688,11/00927/HCCRG3,FUL,,CC,Tavistock County Infant School Broadacres Fleet Hampshire GU51 4EB,Provision of one Double Modular Temporary Classroom with WCs for a period of 4 years up to 31st August 2015 and 2 parking spaces,13/04/2011,13/04/2011,08/06/2011,26/05/2011,479853,153628,176,0.0176,D,Delegated by officer,Granted,,27/05/2011,,,MIN,26/05/2011,,,,,Granted,Delegated by officer,,,Fleet,,,Property Services
14692,S/11/68998,REN,,CMW,Netley WTS Portsmouth Road Netley Hampshire S031 8GD,To allow the retention and continued operation of Netley Waste Transfer Station (and associated development) for a further period of time,28/04/2011,03/05/2011,28/06/2011,21/06/2011,446322,110334,3360,0.336,D,Delegated by officer,Granted,,21/06/2011,,,MAJ,02/06/2011,,,,,Granted,Delegated by officer,Variation of condition(s),Transfer Station,Hamble,,,Veolia Environmental Services
14694,11/01021/HCS,FUL,,CC,Perins School & Community Sports College Pound Hill Alresford Hampshire SO24 9BS,Continued siting for 2 double temporary modular buildings (Ref. 713326 & 713327) on site for a further seven years until 31st August 2018,04/05/2011,04/05/2011,29/06/2011,07/06/2011,458402,132496,237,0.0237,D,Delegated by officer,Granted,,07/06/2011,,,MIN,03/06/2011,,,,,Granted,Delegated by officer,,,Itchen Valley,,,Property Business & Regulatory Services
14699,11/00380/HCC,VAR,,CMW,1A  Hollybush Lane Aldershot Hampshire GU11 2PX,Variation of conditions 15 (Site Layout) 21 (Storage of Material) 26 (waste transfer building construction) 28 (retaining timber wall) 29 (interior of Waste Transfer Building) and 30 (Portacabin Offices) of Planning Permission 07/00807/HCC,13/05/2011,25/05/2011,20/07/2011,09/08/2011,488446,152141,2527,0.2527,D,Delegated by officer,Granted,,10/08/2011,,,MAJ,08/07/2011,,,,,Granted,Delegated by officer,Variation of condition(s),Transfer Station,Aldershot West,,,Integrated Skills Limited
14700,11/01086/HCS,FUL,,CMM,Yeoman Asphalt Botley Goods Yard Station Hill Botley SO30 2DN,Relocation of existing operational portacabin containing site managers office and meeting room from the northern weighbridge exit to the southern weighbridge entrance,11/05/2011,11/05/2011,06/07/2011,04/07/2011,452117,113258,31,0.0031,D,Delegated by officer,Granted,,06/07/2011,RCD,,MAJ,23/06/2011,,,,,Granted,Delegated by officer,Other,Materials Recovery/Recycling (other than,Bishops Waltham,,,Aggregate Industries UK Ltd
14703,11/01212/HCS,FUL,,CMW,New Alresford WTW Appledown Lane New Alresford Hampshire SO24 9PL,Construction of a walk in kiosk and new treatment process units to support an upgrade,18/05/2011,18/05/2011,13/07/2011,14/07/2011,459009,130658,41,0.0041,D,Delegated by officer,Granted,,15/07/2011,RCD,,min,23/06/2011,,,,,Granted,Delegated by officer,Other,Treatment,Meon Valley,,,4 Delivery
14705,P/11/0430/CC,FUL,,CC,St Francis School Oldbury Way Fareham Hampshire PO14 3BN,Provision for 1 single temporary modular building (Ref: 711401) on site for a further seven years until 31st August 2018,23/05/2011,23/05/2011,18/07/2011,27/06/2011,455386,105963,72,0.0072,D,Delegated by officer,Granted,,27/06/2011,,,MIN,23/06/2011,,,,,Granted,Delegated by officer,,,Fareham Titchfield,,,Property Business and Regulatory Services
14706,BDB/74592,VAR,,CMW,Mortimer Quarry Welshman's Road Mortimer West End RG7 4QD,Variation of conditions attached to Planning Permission BDB53439 to allow for the construction of additional silt disposal facilities (part retrospective),23/05/2011,03/06/2011,29/07/2011,28/09/2011,462420,164360,400314,40.0314,D,Committee,Granted,,05/10/2011,,,MAJ,16/08/2011,,,,,Granted,Committee,Variation of condition(s),Sand and Gravel,Calleva and Kingsclere,,,Hanson UK
14707,11/01156/CMA,FUL,,CMM,Humbly Grove X Wellsite New Odiham Road (B3349) Hants,Modifications to the existing site layout from planning permission HDC11399 and the installation of new pipework additional pipework manifold separator vent GRP cabinet and instrument air package,24/05/2011,24/05/2011,19/07/2011,20/07/2011,471139,144776,25552,2.5552,D,Delegated by officer,Granted,,20/07/2011,RCD,,MAJ,02/03/2012,,,,,Granted,Delegated by officer,Variation of condition(s),Oil/Gas Development,Odiham,,,Star Energy  Ltd
14709,22689/003,REL,,CMW,Beacon House 13 Mill Lane Alton Hampshire GU34 2PH,Removal of condition 1 (Hours of Working) on Planning Permission F22689/002/FUL,02/06/2011,06/06/2011,01/08/2011,28/09/2011,472981,139990,3666,0.3666,D,Committee,Granted,,30/09/2011,,,MAJ,23/09/2011,,,,,Granted,Committee,Variation of condition(s),Transfer Station,Alton Rural,,,Bell Cornwell
14711,11/01299/HCC3N,FUL,,CC,Highways Depot Weyhill Road Andover Hampshire,Provision of a portacabin on the site for use by contractor staff for a minimum period of five years,03/06/2011,03/06/2011,29/07/2011,26/07/2011,434740,145428,3469,0.3469,D,Delegated by officer,Granted,,28/07/2011,,,MIN,11/07/2011,,,,,Granted,Delegated by officer,,,Andover South,,,Hampshire County Council Highways
14712,11/97340,FUL,,CMW,Courtwood Farm Sandleheath Fordingbridge SP6 1QD,Application for portacabin for office use and container for walfare facilities and storage,03/06/2011,13/06/2011,08/08/2011,22/07/2011,411880,115227,714,0.0714,D,Delegated by officer,Granted,,25/07/2011,,,MIN,15/07/2011,,,,,Granted,Delegated by officer,Other,Other County Matter,Fordingbridge,,,Ringwood  & Fordingbridge Skip Hire Ltd
14713,11/01281/HCCRG3,FUL,,CC,Fleet Infant School Velmead Road Fleet Hampshire GU52 7LQ,Provision of an additional 100 square metres of tarmac play area to accommodate the extra pupils joining the school following the provision of one Single Modular Temporary Classroom,07/06/2011,09/06/2011,04/08/2011,29/06/2011,482059,153518,125,0.0125,D,Delegated by officer,Granted,,15/07/2011,,,MIN,11/07/2011,,,,,Granted,Delegated by officer,,,Church Crookham and Ewshot,,,Property Business & Regulatory Services
14714,11/97341,VAR,,CMW,Efford Landfill Site Milford Road Pennington Lymington SO41 8QZ,Variation of Conditions of Planning Permission 09/94932  involving revisions to the restoration and aftercare details,07/06/2011,08/06/2011,03/08/2011,08/09/2011,431378,92660,599158,59.9158,D,Delegated by officer,Granted,,09/09/2011,,,MAJ,11/07/2011,,,,,Granted,Delegated by officer,Variation of condition(s),Landfill,Lymington,,,Veolia Environmental Services
14715,S/12/70249,FUL,,CMM,Knowle Lane Fair Oak,Exportation of Sand,20/05/2011,06/01/2012,02/03/2012,16/05/2012,450476,118630,15158,1.5158,D,Delegated by officer,Granted,,18/05/2012,RCD,,MAJ,14/06/2013,,,,,Granted,Delegated by officer,New mineral-working exploration or appraisal/waste disposal,Sand (excluding silica sand),Bishopstoke and Fair Oak,,,White Young Green
14720,NMA/2011/0113,NMA,,CMM,Eversley Quarry Cooper Hill Eversley Common Eversley RG27 0QA,Non material amendment - to alter site traffic routing arrangements in order that mobile plant traffic is separate from road going HGV's and private vehicles,14/06/2011,14/06/2011,12/07/2011,,479322,159201,3745,0.3745,,Delegated by officer,Granted,,11/07/2011,RCD,,min,,,,,,Granted,Delegated by officer,,,Hartley Wintney Eversley and Yateley West,,,David L Walker
